file,text,extracted_tags
Copy of PHOTO-2022-11-01-12-56-53.jpg," A group of men is standing in a line indoors, each holding and reading from a booklet or document. They are wearing casual clothing, and some have lanyards with name tags. One man is wearing a face mask. The background includes a wall with a poster containing text in a non-English script. The setting appears to be a classroom or training environment.","men standing, line indoors, appears classroom, mask background, clothing lanyards"
Copy of PHOTO-2022-11-01-12-54-29.jpg," A group of people is standing in an office room, participating in an activity. Some are holding their hands on their heads. The room has a modern design with wooden paneling and recessed lighting. There is a large table in the center, and a poster with people in formal attire is visible on the wall. The participants are wearing casual and business-casual clothing, and one person is wearing a face mask.","room participating, people standing, people formal, wearing face, modern design"
Copy of PHOTO-2022-11-01-12-55-39.jpg," A group of people are standing in a room, participating in an activity. They are raising their hands and appear to be following instructions from a person at the front. Some individuals are wearing masks, and the group includes both men and women dressed in colorful clothing. The room has a tiled floor and fluorescent lighting, with posters and signs on the walls.","room participating, masks group, individuals wearing, instructions person, fluorescent lighting"
Copy of PHOTO-2022-11-01-12-54-28.jpg," A group of people is participating in a stretching exercise in a classroom setting. They are standing and bending sideways with one arm over their heads. The room has posters on the walls with colorful notes and writing. Chairs are arranged around the room, and a person is standing near the posters, possibly leading the activity. The participants are wearing a variety of colorful clothing.","exercise classroom, participating stretching, participants wearing, room posters, setting standing"
Copy of IMG-20240622-WA0017.jpg," A group of people is seated around a rectangular table in a room, engaged in a discussion or meeting. Papers, notebooks, and a laptop are spread out on the table. The individuals are of various genders and appear focused on the conversation. The room has light-colored walls and curtains, and a poster is visible on the wall in the background.","conversation room, people seated, rectangular table, various genders, poster"
Copy of IMG-20240622-WA0027.jpg," A group of people is standing in front of a pink building with a curved facade. The building has several doorways and is adorned with text in a local script. The ground is sandy, and there are some plants and trees around. The group consists of men and women, and they are posing for the photo, standing in a line. In the foreground, there is a circular concrete structure on the ground.","people standing, pink building, trees group, posing photo, foreground circular"
Copy of IMG-20240622-WA0028.jpg," Two elderly women are sitting on a bench outdoors. The woman on the left is wearing a green sari with a patterned design, while the woman on the right is dressed in a bright pink sari with orange and green accents. Both women are adorned with traditional jewelry, including necklaces and bangles. They are seated in front of a building with pink walls, surrounded by greenery and a clear blue sky.","elderly women, green sari, traditional jewelry, bench outdoors, bangles seated"
Copy of IMG-20240622-WA0030.jpg," A group of people are sitting in a circle on a green mat outdoors. They appear to be engaged in a discussion or meeting. Papers, a notebook, and a water bottle are placed on the mat. The background shows trees and a rural setting. The group includes both men and women, some wearing colorful traditional clothing.","people sitting, circle green, mat outdoors, meeting papers, trees rural"
Copy of IMG-20240622-WA0024.jpg," Three women are sitting on a mat outdoors, engaged in conversation. One woman, wearing a colorful sari, is seated with her back to the camera. The other two women, facing the camera, are dressed in traditional attire with scarves. They are sitting under a tree on a dirt ground, with greenery and hills visible in the background. One of the women is holding a phone.","camera women, women sitting, sitting mat, outdoors engaged, holding phone"
Copy of IMG-20240622-WA0021.jpg," A group of children and a woman are standing on a sandy area surrounded by trees. The children are wearing colorful clothing, including blue, yellow, and red. The woman appears to be interacting with the children, who are spread out in a semi-circle. In the background, there is a road sign and a fence, with dense green foliage and tall trees. The scene is set in a natural, outdoor environment with sunlight filtering through the trees.","trees children, standing sandy, colorful clothing, woman appears, sign fence"
